source_id,title,city,state,asking_price,annual_revenue,practice_type,description,broker_name,listing_url,exam_rooms,sqft,listing_code
omnv-AKV3004,Southern Alaska Small Animal Clinic for Sale,,AK,,1000000,Small Animal,"Southern Alaska, 1 doc, grossing $1mil. Nice facility, conveniently located, potential to grow! Contact Jim Vander Mey at 360-941-2341 or jim@omni-pg.com for more information. Lic.#145318 (Omni Practice ID: AKV3004)",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/akv3004/,,,AKV3004
omnv-NHV101,"Growing and Established General Vet Practice with Specialty Services in White Mountains, NH",Growing And Established General Vet Practice With Specialty Services In White Mountains,NH,,470000,Emergency/Specialty,Profitable SA general practice with holistic services in a mountain town. 1 doctor. Collections $470K. 84 patients/month and 32 new patients/month.,Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/nhv101/,,,NHV101
omnv-MAV101,Massachusetts: Growing Feline-Only General Practice for Sale,,MA,,,Small Animal,"Highly-Profitable & Popular Feline-Only Practice serving Norfolk, Suffolk, and Middlesex Counties in Greater Boston Area",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/mav101/,,,MAV101
omnv-PAV101,Highly Profitable Small Animal General Practice for Sale in Excellent Pennsylvania Location,,PA,,,Small Animal,Generating over $800k in collections with margins over 30%. Steady growth of 15 new patients monthly. Prime location 30 min from Philadelphia with efficient team in place.,Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/pav101/,,,PAV101
omnv-MEV102,"Highly Profitable General Small Animal Practice in Cumberland County, ME",Highly Profitable General Small Animal Practice In Cumberland County,ME,,,Small Animal,$1.3M in collections and over 80 years of providing services for the community. Growing rapidly at 50 patients per month with room to expand.,Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/mev102/,,,MEV102
omnv-WAV3157,"Snohomish County, WA Veterinary Practice for Sale with Real Estate",Snohomish County,WA,,,Small Animal,Grossing over $1.4 million in a high-visibility location with strong net income to buyer. Staffed by 1.25 DVM's. Real estate available for lease or purchase.,Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/wav3157/,,,WAV3157
omnv-WAV3041,"Methow Valley, WA Veterinary Practice for Sale with Real Estate",Methow Valley,WA,,460000,Small Animal,"Methow Valley, WA . Grossing $460k annually. 1 DVM. Great team and well established. Excellent opportunity to get into practice ownership. Financing options are available. Highly Motivated Seller.",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/wav3041/,,,WAV3041
omnv-CAV3017,"Long-Established, Successful Central Valley, CA Veterinary Practice","Long-Established, Successful Central Valley",CA,,,Small Animal,"Central Valley, CA veterinary practice with 3 exam rooms, 8 chain-link kennels, collections over $1 mil. Ample parking: 15 spaces.",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/cav3017/,3,,CAV3017
omnv-IDV312,Central Idaho Small Animal Clinics - 2 Locations!,,ID,,1400000,Small Animal,"Central Idaho Small Animal Clinics - 2 Locations. Total gross $1.4mil, 2 DVMS. Nice, well-maintained, spacious facilities. Desirable growing area. Real estate available. Contact Rod Johnston at 206-979-2660 or rod@omni-pg.com for more information. Lic.#DB49245 (OMNI Practice ID: IDV312)",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/idv312/,,,IDV312
omnv-MEV101,"Successful Suburban General Veterinary Practice for Sale in Beautiful Penobscot County, Maine",,ME,,,Small Animal,"This unique 2,700-sf small animal general wellness practice sits on a 21-acre property. Newly renovated 2,400-sf house connected to the hospital, 960-sf garage with apartment above, and a greenhouse. Real estate is available along with the practice. Ample parking, great road visibility, two exam-rooms with an onsite crematory. Includes digital medical records, digital x-ray, digital dental, and portable ultrasound. Collections are over $700K. Services over 1,600 active clients. Located near veterinary referral hospitals with ER and academia for off-hours and specialty care. The land is zoned t",Omni Practice Group (Veterinary),https://omnipg-vet.com/listing/mev101/,,,MEV101
