source_id,title,city,state,asking_price,annual_revenue,practice_type,description,broker_name,listing_url,exam_rooms,sqft,listing_code
psa-sc0006,Veterinary Practice For Sale in South Carolina,,SC,,,Small Animal,SELLERS Selling a Vet Practice Seller Steps Valuation FAQs Client Portal,Practice Sales Advisors,https://www.practicesalesadvisors.com/listings/sc0006,,,SC0006
psa-ga0006,Veterinary Practice for Sale in Georgia,,GA,,,Small Animal,SELLERS Selling a Vet Practice Seller Steps Valuation FAQs Client Portal,Practice Sales Advisors,https://www.practicesalesadvisors.com/listings/ga0006,,,GA0006
psa-fl0005,Veterinary Practice For Sale in Florida,,FL,,,Small Animal,SELLERS Selling a Vet Practice Seller Steps Valuation FAQs Client Portal,Practice Sales Advisors,https://www.practicesalesadvisors.com/listings/fl0005,,,FL0005
psa-sc0007,South Carolina,,SC,,,Small Animal,SELLERS Selling a Vet Practice Seller Steps Valuation FAQs Client Portal,Practice Sales Advisors,https://www.practicesalesadvisors.com/listings/sc0007,,,SC0007
psa-fl0009,Veterinary Practice For Sale in Florida,,FL,,,Small Animal,SELLERS Selling a Vet Practice Seller Steps Valuation FAQs Client Portal,Practice Sales Advisors,https://www.practicesalesadvisors.com/listings/fl0009,,,FL0009
psa-nc0007,Veterinary Practice for Sale in North Carolina,,NC,,,Small Animal,SELLERS Selling a Vet Practice Seller Steps Valuation FAQs Client Portal,Practice Sales Advisors,https://www.practicesalesadvisors.com/listings/nc0007,,,NC0007
psa-ga0002,Veterinary Practice for Sale in Georgia,,GA,,,Small Animal,SELLERS Selling a Vet Practice Seller Steps Valuation FAQs Client Portal,Practice Sales Advisors,https://www.practicesalesadvisors.com/listings/ga0002,,,GA0002
psa-tn0002,Veterinary Practcice For Sale in Tennessee,,TN,,,Small Animal,SELLERS Selling a Vet Practice Seller Steps Valuation FAQs Client Portal,Practice Sales Advisors,https://www.practicesalesadvisors.com/listings/tn0002,,,TN0002
psa-sc0005,Veterinary Practice For Sale in South Carolina,,SC,,,Small Animal,SELLERS Selling a Vet Practice Seller Steps Valuation FAQs Client Portal,Practice Sales Advisors,https://www.practicesalesadvisors.com/listings/sc0005,,,SC0005
psa-nc0009,Veterinary Practice for Sale in North Carolina,,NC,,,Small Animal,SELLERS Selling a Vet Practice Seller Steps Valuation FAQs Client Portal,Practice Sales Advisors,https://www.practicesalesadvisors.com/listings/nc0009,,,NC0009
