source_id,title,city,state,asking_price,annual_revenue,practice_type,description,broker_name,listing_url,exam_rooms,sqft,listing_code
psb-brevard-county-florida-f,"Brevard County, Florida | FL131",Brevard County,FL,,,Small Animal,"Description : New Listing! Small Animal Veterinary Practice for Sale in Brevard County, Florida Located in Florida’s highly desirable Space Coast region of Brevard County, this well-established small animal practice is available in one of the state's fastest-growing markets. Serving a loyal and growing client base, the hospital has built a strong reputation for high-quality care, personalized service, and a stress-free environment. Generating over $1.4 million in annual gross revenue with an estimated cash flow approaching $450,000, the practice continues to benefit from the area's steady popu",PS Broker,https://psbroker.com/property/brevard-county-florida-fl131/,,,brevard-county-florida-f
psb-cheboygan-county-michiga,"Cheboygan County, Michigan | MI6",Cheboygan County,MI,,874000,Small Animal,"Description : New Listing! Small Animal Veterinary Practice for Sale in Cheboygan County, Michigan This small animal practice in Cheboygan County offers the opportunity to acquire a well-established veterinary business in one of Northern Michigan's most desirable regions. Generating approximately $874,000 in annual gross revenue with an estimated cash flow of $370,000, the practice combines strong profitability, real estate ownership, and a loyal client base in a community celebrated for its natural beauty, outdoor recreation, and exceptional quality of life. The practice has earned an outstan",PS Broker,https://psbroker.com/property/cheboygan-county-michigan-mi6/,,,cheboygan-county-michiga
psb-winnebago-county-illinoi,"Winnebago County, Illinois | IL5",Winnebago County,IL,,964000,Small Animal,"Description : New Listing! Small Animal Veterinary Practice for Sale in Winnebago County, Illinois This established small animal practice in Winnebago County, Illinois, is available for purchase as the owner plans to retire. Generating approximately $964,000 in annual gross revenue, the practice has built a loyal client base and a strong reputation throughout the region. With real estate, an experienced support team, and a well-equipped facility, the practice offers a solid foundation for continued success and opportunities for future growth. Located approximately 90 miles northwest of Chicago",PS Broker,https://psbroker.com/property/winnebago-county-illinois-il5/,,,winnebago-county-illinoi
psb-cochise-county-arizona-a,"Cochise County, Arizona | AZ10",Cochise County,AZ,,,Small Animal,"Description : New Listing! Small Animal Veterinary Practice for Sale in Cochise County, Arizona Located in the scenic and economically stable region of Cochise County in Southeastern Arizona, this well-established small animal veterinary practice offers an exceptional ownership opportunity in a beautiful, desirable high-desert community. Positioned along a major commercial corridor with approximately 24,000 vehicles passing daily, the practice benefits from outstanding visibility, accessibility, and longstanding community recognition. The surrounding area offers an attractive combination of ec",PS Broker,https://psbroker.com/property/cochise-county-arizona-az10/,4,,cochise-county-arizona-a
psb-bonneville-county-idaho-,"Bonneville County, Idaho | ID6",Bonneville County,ID,,,Small Animal,"Description : New Listing! Small Animal Veterinary Practice for Sale in Bonneville County, Idaho This well-established small-animal veterinary practice in Bonneville County, Idaho, is located along a high-visibility commercial corridor with over 22,000 vehicles passing daily. The property offers excellent exposure, easy access, and a large private parking lot, making it convenient for clients and highly desirable for continued growth. Situated in a thriving and steadily expanding region, the practice benefits from a strong mix of residential growth, local commerce, and a loyal client base that",PS Broker,https://psbroker.com/property/bonneville-county-idaho-id6/,,,bonneville-county-idaho-
psb-central-ohio-oh8,Central Ohio | OH8,,OH,,,Small Animal,"Description : New Listing! Small Animal Veterinary Practice for Sale in Central Ohio This well-established small animal veterinary practice in Central Ohio offers an ownership opportunity in a thriving, accessible market. Located just 15–20 minutes from a major metropolitan downtown, the practice benefits from proximity to a large and growing population base, a strong regional economy, and convenient access to a major international airport. The surrounding area offers an appealing mix of suburban comfort and urban amenities, including excellent schools, retail centers, parks, and cultural attr",PS Broker,https://psbroker.com/property/central-ohio-oh8/,,,central-ohio-oh8
psb-arizona-metro-az9,Arizona Metro | AZ9,,AZ,,,Small Animal,"Description : Feline Veterinary Practice for Sale in Arizona Metro This well-established feline-exclusive veterinary practice in the thriving Arizona Metro area offers a prime opportunity for ownership in one of the fastest-growing regions in the country. Positioned in a high-visibility location with nearly 40,000 vehicles passing daily and convenient accessibility, the clinic benefits from a steadily expanding population and ongoing economic development. The surrounding area continues to attract new residents and businesses, fueling strong demand for veterinary services and creating an ideal ",PS Broker,https://psbroker.com/property/arizona-metro-az9/,3,,arizona-metro-az9
psb-southern-montana-mt3,Southern Montana | MT3,,MT,,932000,Small Animal,"Description : Small Animal Veterinary Hospital for Sale in Southern Montana This established small animal veterinary practice in Southern Montana offers an exceptional ownership opportunity in one of the most scenic regions of the American West. The hospital has built a strong reputation for compassionate care and personalized client relationships, supported by a loyal and growing client base. Surrounded by mountain ranges, open ranchland, and abundant outdoor recreation, the area offers an appealing balance of professional opportunity and lifestyle, an ideal setting for a veterinarian seeking",PS Broker,https://psbroker.com/property/southern-montana-mt3/,3,,southern-montana-mt3
psb-st-clair-county-michigan,"St. Clair County, Michigan | MI11",St Clair County,MI,,,Small Animal,"Description : Small Animal Veterinary Clinic for Sale in St. Clair County, Michigan This well-established small animal veterinary clinic in St. Clair County, Michigan, offers an excellent opportunity for a veterinarian seeking to own a thriving, community-focused hospital. Serving the surrounding region since 2007, the practice has built a loyal client base and a strong reputation for compassionate, personalized care. Located within walking distance to the scenic Lake Huron shoreline, the area offers a relaxed lifestyle with access to beaches, boating, and outdoor recreation while remaining wi",PS Broker,https://psbroker.com/property/st-clair-county-michigan-mi11/,3,,st-clair-county-michigan
psb-brown-county-wisconsin-w,"Brown County, Wisconsin | WI3",Brown County,WI,,,Small Animal,"Description : Small Animal Veterinary Practice for Sale in Brown County, Wisconsin This modern small-animal veterinary practice is located in Brown County, northeastern Wisconsin, within a welcoming, growing community that blends residential charm with convenient access to regional amenities. Established just under a decade ago, the hospital was thoughtfully developed by an experienced veterinarian and designed to support high-quality medicine in a calm, client-focused setting. The practice has built a strong local reputation for compassionate care, flexible appointment times, and personalized",PS Broker,https://psbroker.com/property/brown-county-wisconsin-wi3/,4,,brown-county-wisconsin-w
psb-nicollet-county-minnesot,"Nicollet County, Minnesota | MN5",Nicollet County,MN,,,Small Animal,"Description : Small Animal Veterinary Hospital for Sale in Nicollet County, Minnesota Located in Nicollet County, south-central Minnesota, this small animal practice offers an exceptional ownership opportunity in a region renowned for its balance of comfort, convenience, and high quality of life. The surrounding area benefits from the amenities of the greater metropolitan region, including riverfront recreation, vibrant retail and dining, and a strong sense of community. With affordable living, excellent schools, and steady economic growth, this part of Minnesota continues to attract families,",PS Broker,https://psbroker.com/property/nicollet-county-minnesota-mn5/,3,,nicollet-county-minnesot
psb-coles-county-illinois-il,"Coles County, Illinois | IL11",Coles County,IL,,,Large Animal,"Description : Primarily Small Animal Veterinary Clinic for Sale in Coles County, Illinois Located in Coles County in east-central Illinois, this long-established veterinary clinic presents an exceptional opportunity for a veterinarian seeking ownership in a reputable and profitable practice. With roots dating back to the mid-20th century, the clinic has earned the loyalty of generations of clients across the region. Approximately 95% of its revenue is derived from small animal services, with limited large animal work typically performed outside of regular hours. Generating around $1.8 million ",PS Broker,https://psbroker.com/property/coles-county-illinois-il11/,2,,coles-county-illinois-il
psb-west-central-virginia-va,West-Central Virginia | VA17,,VA,,620000,Small Animal,"Description : Small Animal Veterinary Hospital for Sale in West-Central Virginia Located in West-central Virginia in the heart of the Shenandoah Valley, this long-established small animal hospital is known for delivering compassionate, high-quality veterinary care in one of the region’s most picturesque and welcoming communities. The area offers a unique blend of natural beauty and modern convenience, with residents enjoying scenic mountain views, outdoor recreation, and a vibrant local culture. The area’s family-friendly atmosphere, strong schools, and economic stability make it an attractive",PS Broker,https://psbroker.com/property/west-central-virginia-va17/,4,,west-central-virginia-va
psb-bexar-county-texas-tx10,"Bexar County, Texas | TX10",Bexar County,TX,,873000,Small Animal,"Description : Small Animal Veterinary Hospital for Sale in Bexar County, Texas Located just east of San Antonio in Bexar County, Texas, the city offers a blend of rural charm and accessibility to a major metropolitan area, making it attractive to those seeking a quieter lifestyle without sacrificing proximity to city amenities. Despite its modest size, the city benefits from its strategic location along major transportation routes, facilitating commerce and trade with nearby cities. For the new owner, this practice presents the opportunity to serve a close-knit community, building strong bonds",PS Broker,https://psbroker.com/property/bexar-county-texas-tx10/,2,,bexar-county-texas-tx10
psb-rock-island-county-illin,"Rock Island County, Illinois | IL8",Rock Island County,IL,,,Small Animal,"Description : Price Improvement Small Animal Veterinary Hospital for Sale in Rock Island County, Illinois This well-established small animal hospital is located in a vibrant Rock Island County community along the Mississippi River, part of the thriving Quad Cities region. The area offers scenic riverfront parks, cultural institutions, recreational amenities, and convenient access to urban centers, including Davenport, Rock Island, and Bettendorf. Its central Midwest location also provides easy proximity to Chicago, Des Moines, and Minneapolis. The clinic operates in a residential area with str",PS Broker,https://psbroker.com/property/rock-island-county-illinois-il8/,,,rock-island-county-illin
psb-upshur-county-texas-tx11,"Upshur County, Texas | TX11",Upshur County,TX,,694000,Small Animal,"Description : Small Animal Veterinary Hospital for Sale in Upshur County, Texas Seize the opportunity to own this thriving veterinary hospital in a welcoming and supportive community of Upshur County, Texas. Located in the heart of East Texas, the city offers a small-town feel with the convenience of being just a short drive away from larger cities like Longview and Tyler. The city’s strategic location and supportive local government offer a favorable business environment, with incentives such as tax abatements and grants. The presence of a skilled workforce, supported by nearby educational in",PS Broker,https://psbroker.com/property/upshur-county-texas-tx11/,2,,upshur-county-texas-tx11
psb-cass-county-texas-tx12,"Cass County, Texas | TX12",Cass County,TX,,,Small Animal,"Description : Small Animal Veterinary Hospital for Sale in Cass County, Texas This thriving veterinary practice is situated in the scenic region of East Texas in Cass County. As the only small animal practice within a 25-mile radius currently accepting new patients, the place is bustling! The community provides a serene, small-town lifestyle while still offering access to modern amenities. Its proximity provides residents easy access to a broader range of job opportunities, shopping, and entertainment options while allowing for a tranquil place to call home. The hospital operates as a 2-DVM pr",PS Broker,https://psbroker.com/property/cass-county-texas-tx12/,,,cass-county-texas-tx12
psb-jefferson-county-kansas-,"Jefferson County, Kansas | KS1",Jefferson County,KS,,,Small Animal,"Description : Small Animal Veterinary Hospital for Sale in Jefferson County, Kansas This veterinary practice rests in a prime location on a main thoroughfare just south of the city. This growing area of northeast Kansas offers the charm of small-town living with easy access to the urban amenities of nearby Topeka and Lawrence. The town is known for its close-knit community, excellent schools, and abundant outdoor recreational opportunities like golfing, fishing, hunting, and boating. Known for its strong community reputation and “small-town values,” the hospital offers comprehensive veterinary",PS Broker,https://psbroker.com/property/jefferson-county-kansas-ks1/,3,,jefferson-county-kansas-
psb-monmouth-county-new-jers,"Monmouth County, New Jersey | NJ12",Monmouth County,NJ,,650000,Small Animal,"Description : Price Improvement Small Animal Veterinary Hospital for Sale in Monmouth County, New Jersey This veterinary hospital rests in a charming borough in Monmouth County. The conveniently located city offers a delightful blend of suburban living and is just minutes from the stunning beaches of the Jersey Shore. With its tree-lined streets, well-maintained parks, and friendly community atmosphere, this location is great for families. The vibrant downtown area is a highlight, with an array of dining options, boutique shops, and local businesses, providing ample opportunities for entertain",PS Broker,https://psbroker.com/property/monmouth-county-new-jersey-nj12/,4,,monmouth-county-new-jers
psb-mendocino-county-califor,"Mendocino County, California | CA37",Mendocino County,CA,,,Small Animal,"Description : Small Animal Veterinary Clinic for Sale in Mendocino County, California This veterinary practice is situated in Mendocino County, California, in a city known for being part of the scenic region and surrounded by the natural beauty of a National Forest and the awe-inspiring redwoods! Beyond its natural allure, the area is renowned for its thriving arts community, hosting local performances, galleries, and cultural events that contribute to the city’s creative atmosphere. Nestled amidst the captivating landscapes of Northern California, the clinic is well-established and has cultiv",PS Broker,https://psbroker.com/property/mendocino-county-california-ca37/,4,,mendocino-county-califor
psb-macomb-county-michigan-m,"Macomb County, Michigan | MI10",Macomb County,MI,,785000,Small Animal,"Description : Motivated Seller Small Animal Veterinary Hospital for Sale in Macomb County, Michigan This thriving veterinary hospital offers an exceptional opportunity to own a well-established practice in the growing community of Macomb County, Michigan. Serving the community for nearly 50 years, this reputable hospital is ideally located near a prominent, signalized intersection with high visibility and easy access from the main thoroughfare, making it a convenient choice for pet owners in the surrounding residential neighborhoods. The free-standing, 2,250-square-foot facility sits on prime ",PS Broker,https://psbroker.com/property/macomb-county-michigan-mi10/,,,macomb-county-michigan-m
psb-franklin-county-ohio-oh6,"Franklin County, Ohio | OH6",Franklin County,OH,,,Small Animal,"Description : Price Improvement Small Animal Veterinary Hospital for Sale in Franklin County, Ohio Seize the opportunity to own a profitable, highly regarded veterinary hospital with deep roots in the thriving community of Franklin County, Ohio. This well-established practice boasts an outstanding reputation built over four decades, high staff retention, loyal clientele, and desirable real estate situated on nearly half an acre. Ideally located within a bustling business and residential corridor, the facility offers nearly 2,400 square feet of space and benefits from its proximity to major dev",PS Broker,https://psbroker.com/property/franklin-county-ohio-oh6/,,,franklin-county-ohio-oh6
psb-centre-county-pennsylvan,"Centre County, Pennsylvania | PA12",Centre County,PA,,744000,Small Animal,"Description : Small Animal Veterinary Hospital for Sale in Centre County, Pennsylvania Located in scenic Centre County, this thriving small animal veterinary hospital presents an exceptional ownership opportunity in a growing Central Pennsylvania market. Established just four years ago, the practice is positioned along a major east-west highway with over 13,000 vehicles passing daily. With steady year-over-year growth, it has quickly earned a reputation for compassionate care, clinical excellence, and strong community engagement—currently generating over $744,000 in gross revenue with appointm",PS Broker,https://psbroker.com/property/centre-county-pennsylvania-pa12/,,,centre-county-pennsylvan
psb-washington-county-new-yo,"Washington County, New York | NY23",Washington County,NY,,795000,Small Animal,"Description : Small Animal Veterinary Practice for Sale in Washington County, New York Located in picturesque Washington County in Upstate New York, this primarily small animal practice presents an exceptional opportunity for veterinary ownership in a vibrant yet peaceful setting. The region is surrounded by a rich mix of historic villages and thriving communities, including Saratoga Springs, Troy, Albany, Cambridge, and Greenwich, offering the perfect balance of rural charm and modern convenience. With access to top veterinary schools like Cornell and Tufts, excellent local school systems, ab",PS Broker,https://psbroker.com/property/washington-county-new-york-ny23/,,,washington-county-new-yo
psb-northeastern-north-carol,Northeastern North Carolina | NC17,,NC,,,Small Animal,"Description : Small Animal Veterinary Clinic for Sale in Northeastern North Carolina This thriving veterinary clinic is located in a historic Northeastern North Carolina town known for its Southern charm, beautiful turn-of-the-century homes, and welcoming, small-town atmosphere. The community benefits from a strong population base and convenient proximity to Greenville, Raleigh, and Charlotte, creating an ideal blend of small-town living with easy access to larger metropolitan amenities. The clinic is prominently situated on a main thoroughfare, offering excellent visibility and accessibility,",PS Broker,https://psbroker.com/property/northeastern-north-carolina-nc17/,,,northeastern-north-carol
psb-erie-county-new-york-ny2,"Erie County, New York | NY24",Erie County,NY,,684000,Small Animal,"Description : Small Animal Veterinary Hospital for Sale in Erie County, New York Situated near the heart of Erie County, this well-established veterinary practice benefits from a peaceful setting with the advantages of nearby Buffalo and Niagara Falls. The area is known for its welcoming neighborhoods, excellent schools, and endless recreation, from riverfront trails and seasonal festivals to professional sports and cultural attractions. Easy access to Interstate 190 and the Buffalo Niagara International Airport makes the location even more desirable. For more than 25 years, this clinic has bu",PS Broker,https://psbroker.com/property/erie-county-new-york-ny24/,,,erie-county-new-york-ny2
psb-northeast-ohio-oh7,Northeast Ohio | OH7,,OH,,990000,Small Animal,"Description : Small Animal Veterinary Clinic for Sale in Northeast Ohio Located in Northeast Ohio, this practice benefits from a community that blends small-town charm with a solid economic foundation. The area is home to excellent schools, safe neighborhoods, and a supportive population. Residents enjoy convenient access to healthcare, shopping, and recreation, while Interstate 77 provides quick connectivity to Canton, Akron, and Cleveland. Ongoing economic investments in the region are expected to create approximately 650 new jobs, further strengthening the local economy and expanding the po",PS Broker,https://psbroker.com/property/northeast-ohio-oh7/,,,northeast-ohio-oh7
psb-lower-northwest-michigan,Lower Northwest Michigan | MI9,,MI,,,Emergency/Specialty,"Description : Small Animal Veterinary Practice for Sale in Lower Northwest Michigan This well-established practice sits on a main thoroughfare in one of Michigan’s most desirable and growing coastal destinations! The area is renowned for its freshwater beaches, sand dunes, parks, harbors, vineyards, wineries, breweries, excellent restaurants, specialty shops, and year-round outdoor recreation. It truly offers the quintessential “Pure Michigan” lifestyle. The practice is thriving, with the owner working full-time alongside a large, well-trained support team. Currently, it is closed on weekends ",PS Broker,https://psbroker.com/property/lower-northwest-michigan-mi9/,2,,lower-northwest-michigan
psb-alameda-county-californi,"Alameda County, California | CA36",Alameda County,CA,,904000,Small Animal,"Description : Under Contract Small Animal Veterinary Hospital for Sale in Alameda County, California This veterinary practice is nestled in the scenic landscape of Alameda County, California, a unique gem within the San Francisco Bay Area. What sets the area apart is its picturesque setting between the East Bay hills, providing breathtaking views and a perfect blend of a rural and suburban lifestyle, with easy access to nearby urban centers. There truly is something for everyone in this special area! With an array of amenities, including parks, recreational facilities, and cultural attractions",PS Broker,https://psbroker.com/property/alameda-county-california-ca36/,,,alameda-county-californi
psb-palm-beach-county-florid,"Palm Beach County, Florida | FL130",Palm Beach County,FL,,,Small Animal,"Description : Under Contract Small Animal Veterinary Hospital for Sale in Palm Beach County, Florida Located in beautiful Palm Beach County in South Florida, this AAHA-accredited, privately owned veterinary practice has been a trusted provider of high-quality, compassionate care to the community for over four decades. Serving a loyal client base from surrounding areas, the hospital is known for its personalized, family-oriented approach, advanced laser surgery and dentistry, comprehensive diagnostics, and online pharmacy. With an outstanding local reputation and overwhelmingly positive client ",PS Broker,https://psbroker.com/property/palm-beach-county-florida-fl130/,,,palm-beach-county-florid
psb-little-river-county-arka,"Little River County, Arkansas | AR5",Little River County,AR,,453000,Small Animal,"Description : Under Contract Small Animal Veterinary Clinic for Sale in Little River County, Arkansas This small animal veterinary clinic is located in a welcoming Little River County community, where agriculture, manufacturing, and healthcare contribute to a stable and growing local economy. The area’s diverse industries, coupled with a lack of direct competition, make this a highly attractive setting for practice ownership. The hospital is currently operated by a solo DVM working just one day per week, supported by three full-time staff members. Despite such limited doctor hours, the practic",PS Broker,https://psbroker.com/property/little-river-county-arkansas-ar5/,,,little-river-county-arka
psb-south-central-new-hampsh,South-Central New Hampshire | NH7,,NH,,,Small Animal,"Description : Under Contract Small Animal Veterinary Clinic for Sale in Merrimack County, New Hampshire This long-established veterinary clinic rests in a charming and vibrant town with a mix of rural and urban surrounding areas, providing a perfect balance between natural beauty and access to a variety of amenities. The town’s convenient location near major highways provides quick access to larger cities and attractions, while still enjoying the tranquility of a smaller community. The clinic is currently operated by a full-time solo DVM supported by an outstanding team. In 2024, the practice ",PS Broker,https://psbroker.com/property/south-central-new-hampshire-nh7/,,,south-central-new-hampsh
