source_id,title,city,state,asking_price,annual_revenue,practice_type,description,broker_name,listing_url,exam_rooms,sqft,listing_code
sim-east-of-columbus,East of Columbus,,,,,Small Animal,Buying Buying a Veterinary Practice How to Buy a Practice,Simmons & Associates,https://simmonsinc.com/practice-listings/east-of-columbus/,3,,east-of-columbus
sim-thriving-small-animal-practice-golden-colorado,"Thriving Small Animal Practice, Golden, Colorado",Golden,CO,,,Small Animal,Buying Buying a Veterinary Practice How to Buy a Practice,Simmons & Associates,https://simmonsinc.com/practice-listings/thriving-small-animal-practice-golden-colorado/,,,thriving-small-animal-pr
sim-new-washington-dc-periphery,NEW – Washington DC Periphery Northwest!,,DC,,,Small Animal,Buying Buying a Veterinary Practice How to Buy a Practice,Simmons & Associates,https://simmonsinc.com/practice-listings/new-washington-dc-periphery/,,,new-washington-dc-periph
sim-thriving-mixed-animal-hospital-for-sale-sioux-falls-sd-area,"Thriving Mixed Animal Hospital for Sale – Sioux Falls, SD Area",Sioux Falls,SD,,,Mixed Animal,Buying Buying a Veterinary Practice How to Buy a Practice,Simmons & Associates,https://simmonsinc.com/practice-listings/thriving-mixed-animal-hospital-for-sale-sioux-falls-sd-area/,,,thriving-mixed-animal-ho
sim-norfolk-county-1-dvm-practice,Norfolk County 1 DVM Practice,,,,,Small Animal,Buying Buying a Veterinary Practice How to Buy a Practice,Simmons & Associates,https://simmonsinc.com/practice-listings/norfolk-county-1-dvm-practice/,,,norfolk-county-1-dvm-pra
sim-veterinary-facility-for-sale-san-gabriel-valley,Veterinary Facility For Sale – San Gabriel Valley,,,,,Small Animal,Buying Buying a Veterinary Practice How to Buy a Practice,Simmons & Associates,https://simmonsinc.com/practice-listings/veterinary-facility-for-sale-san-gabriel-valley/,,,veterinary-facility-for-
sim-established-practice-in-desirable-north-dallas-suburb,Established practice in desirable North Dallas suburb,,,,,Small Animal,Buying Buying a Veterinary Practice How to Buy a Practice,Simmons & Associates,https://simmonsinc.com/practice-listings/established-practice-in-desirable-north-dallas-suburb/,,,established-practice-in-
sim-new-listing-southwest-coast,NEW LISTING SOUTHWEST COAST,,,,,Small Animal,Buying Buying a Veterinary Practice How to Buy a Practice,Simmons & Associates,https://simmonsinc.com/practice-listings/new-listing-southwest-coast/,,,new-listing-southwest-co
sim-new-price-central-coast-california,New Price –Central Coast – California,,CA,,,Small Animal,Buying Buying a Veterinary Practice How to Buy a Practice,Simmons & Associates,https://simmonsinc.com/practice-listings/new-price-central-coast-california/,,,new-price-central-coast-
sim-aptos-ca,"Aptos, CA",Aptos,CA,,,Small Animal,Buying Buying a Veterinary Practice How to Buy a Practice,Simmons & Associates,https://simmonsinc.com/practice-listings/aptos-ca/,3,,aptos-ca
sim-equine-equipment-sale,Equine Equipment Sale,,,,,Equine,Buying Buying a Veterinary Practice How to Buy a Practice,Simmons & Associates,https://simmonsinc.com/practice-listings/equine-equipment-sale/,,,equine-equipment-sale
sim-solo-practice-northern-virginia,Winchester Virginia Area,,VA,,,Small Animal,Buying Buying a Veterinary Practice How to Buy a Practice,Simmons & Associates,https://simmonsinc.com/practice-listings/solo-practice-northern-virginia/,,,solo-practice-northern-v
